# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
writeAction.median.wait.ms,1785429225201000000,1785429245630000000,0
writeAction.count,1785429225201000000,1785429245630000000,7
lexer.VTL.size.bytes,1785429225201000000,1785429245630000000,134
writeAction.wait.ms,1785429225201000000,1785429245630000000,36
workspaceModel.cachedValue.total.get.count,1785429225201000000,1785429245630000000,17
workspaceModel.init.bridges.ms,1785429225201000000,1785429245630000000,0
workspaceModel.updates.ms,1785429225201000000,1785429245630000000,0
workspaceModel.collect.changes.ms,1785429225201000000,1785429245630000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1785429225201000000,1785429245630000000,3
workspaceModel.update.unloaded.entities.ms,1785429225201000000,1785429245630000000,0
workspaceModel.to.snapshot.ms,1785429225201000000,1785429245630000000,0
workspaceModel.cachedValueWithParameters.clear.count,1785429225201000000,1785429245630000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1785429225201000000,1785429245630000000,0
workspaceModel.on.changed.ms,1785429225201000000,1785429245630000000,0
workspaceModel.replace.project.model.ms,1785429225201000000,1785429245630000000,0
workspaceModel.cachedValue.clear.count,1785429225201000000,1785429245630000000,0
workspaceModel.full.replace.project.model.ms,1785429225201000000,1785429245630000000,0
workspaceModel.updates.count,1785429225201000000,1785429245630000000,0
workspaceModel.loading.total.ms,1785429225201000000,1785429245630000000,37
workspaceModel.cachedValueWithParameters.total.get.count,1785429225201000000,1785429245630000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1785429225201000000,1785429245630000000,0
workspaceModel.cachedValue.from.cache.count,1785429225201000000,1785429245630000000,15
workspaceModel.initializing.ms,1785429225201000000,1785429245630000000,0
workspaceModel.on.before.changed.ms,1785429225201000000,1785429245630000000,0
workspaceModel.check.recursive.update.ms,1785429225201000000,1785429245630000000,0
workspaceModel.pre.handlers.ms,1785429225201000000,1785429245630000000,0
workspaceModel.updates.precise.ms,1785429225201000000,1785429245630000000,0
workspaceModel.cachedValue.calculated.count,1785429225201000000,1785429245630000000,2
workspaceModel.loading.from.cache.ms,1785429225201000000,1785429245630000000,33
NonBlockingReadAction.failedExecutionsCount,1785429225201000000,1785429245630000000,3
NonBlockingReadAction.failedExecutionTimeUs,1785429225201000000,1785429245630000000,259219
AWTEventQueue.dispatchTimeTotalNS,1785429225201000000,1785429245630000000,2398951739
NonBlockingReadAction.finalizedExecutionsCount,1785429225201000000,1785429245630000000,9
NonBlockingReadAction.finalizedExecutionTimeUs,1785429225201000000,1785429245630000000,43556
